title,price,rating,reviews,availablity,image_url
"Plant Pots 10/9/8/7.5/7 inch Set of 5,Flower Pots with Multi Mesh Drainage Holes, Large Planters for Indoor Outdoor Garden Plants and Flowers. (Black)",$25.99,4.6 out of 5 stars,800 ratings,In Stock,https://m.media-amazon.com/images/I/71Ngb+1wAPL._AC_SY300_SX300_QL70_ML2_.jpg
"30 Packs Clear Nursery Pots for Plants, 3.5/4/5 Inch High Transparency Plastic Seedling Plant Pot with Drainage Holes, Includes 20 Labels",$9.98,4.6 out of 5 stars,"1,069 ratings",In Stock,https://m.media-amazon.com/images/I/71HoQkxY9pL.__AC_SY300_SX300_QL70_ML2_.jpg
"7 Pack 8 Inch Clear Nursery Pots with Saucer, Transparent Plastic Plant Pot with Drainage Holes, Sturdy Plant Starter Pots, Planter Pot for Planting Succulent Flower Herb Vegetable, Gardening Gifts",$21.36,4.6 out of 5 stars,612 ratings,In Stock,https://m.media-amazon.com/images/I/61oe3tGindL.__AC_SX300_SY300_QL70_ML2_.jpg
"Quarut 12 Inch Large Planter Pot for Plants Indoor Outdoor, 4 Pack Plastic Flower Pots with Drainage Hole & Tray, Modern Decorative Garden Pot with Saucer, Plant Container for House（Brown）",$26.99,4.6 out of 5 stars,691 ratings,In Stock,https://m.media-amazon.com/images/I/71NMM9h4SeL.__AC_SX300_SY300_QL70_ML2_.jpg
"5 Pack 5 Gallon Grow Bags, Thickened Aeration Nonwoven Fabric Plant Pots with Handles, Heavy Duty 300G Garden Planting Bag for Tomato, Potato, Strawberry, Vegetable, Fruits and Flowers",$8.99,4.7 out of 5 stars,119 ratings,In Stock,https://m.media-amazon.com/images/I/81ubnUFmzcL.__AC_SX300_SY300_QL70_ML2_.jpg
"Plant Pots 8 Inch Set of 2, Flower Pots with Multi Mesh Drainage Holes, Planters for Indoor Outdoor Garden Plants and Flowers (White)",$16.89,4.7 out of 5 stars,"1,246 ratings",In Stock,https://m.media-amazon.com/images/I/71kJzl4PMbL.__AC_SX300_SY300_QL70_ML2_.jpg
"30 Packs 6.7/5/4 Inch Reinforced Clear Nursery Pots with Drainage Hole, Transparent Variety Pack Plastic Plant Pot Seedling Planter Seed Starter Flower",$20.99,4.6 out of 5 stars,"2,537 ratings",In Stock,https://m.media-amazon.com/images/I/81DJHCXoSBL.__AC_SX300_SY300_QL70_ML2_.jpg
"LE TAUCI Ceramic Pots for Plants, 10+8+6 Inch Indoor Plant Pots, Modern Planters for Indoor Plants Home Office, Cylinder Round Planters with Drainage Hole and Plug, Set of 3, White",$59.99,4.6 out of 5 stars,753 ratings,In Stock,https://m.media-amazon.com/images/I/513dgxYhWvL.__AC_SX300_SY300_QL70_ML2_.jpg
"7.5/6.5/5.5/4.9/4.2/3.5 Inch Plant Pots with Saucers & Drain Holes - Indoor/Outdoor Flower Pots for Succulents, Herbs, Cactus - Modern Lightweight Durable Planter Set, Blue",$15.99,4.5 out of 5 stars,"1,054 ratings",,https://m.media-amazon.com/images/I/61HtVwuZCKL.__AC_SX300_SY300_QL70_ML2_.jpg
"4 Pack 12 inch Plant Pots, Retro Pattern Planters with Drainage Holes and Saucer, Sturdy Plastic Garden Flower Pots for Indoor & Outdoor Plants",$29.99,4.7 out of 5 stars,397 ratings,In Stock,https://m.media-amazon.com/images/I/61AfjbYBXzL.__AC_SX300_SY300_QL70_ML2_.jpg
